Longitude,Latitude,Station Name,Climate ID,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,Weather,Date/Time
-79.4,43.63,TORONTO CITY CENTRE,6158359,13.6,10.8,83.0,0.0,24.0,8.0,16.1,101.36,,,,2024-06-01 00:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,13.9,10.5,80.0,0.0,25.0,5.0,16.1,101.37,,,,2024-06-01 01:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,13.9,10.1,78.0,0.0,25.0,5.0,16.1,101.34,,,,2024-06-01 02:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,13.3,10.9,85.0,0.0,23.0,9.0,16.1,101.39,,,,2024-06-01 03:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,13.4,10.2,81.0,0.0,27.0,4.0,16.1,101.34,,,,2024-06-01 04:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,12.3,10.6,89.0,0.0,27.0,8.0,16.1,101.4,,,,2024-06-01 05:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,13.3,11.7,90.0,0.0,,4.0,16.1,101.38,,,,2024-06-01 06:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,14.5,13.1,91.0,0.0,23.0,5.0,16.1,101.38,,,,2024-06-01 07:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,15.0,12.4,84.0,0.0,21.0,11.0,16.1,101.41,,,,2024-06-01 08:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,15.6,12.0,79.0,0.0,22.0,11.0,16.1,101.39,,,,2024-06-01 09:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,16.1,10.8,70.0,0.0,20.0,8.0,16.1,101.35,,,,2024-06-01 10:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,16.9,10.9,67.0,0.0,18.0,5.0,16.1,101.3,,,,2024-06-01 11:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,18.8,11.0,60.0,0.0,18.0,5.0,16.1,101.27,,,,2024-06-01 12:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,21.2,11.5,53.0,0.0,14.0,5.0,16.1,101.2,,,,2024-06-01 13:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,22.7,9.3,42.0,0.0,12.0,13.0,16.1,101.11,,,,2024-06-01 14:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,22.8,10.3,45.0,0.0,14.0,8.0,16.1,101.04,,,,2024-06-01 15:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,22.7,9.5,43.0,0.0,11.0,8.0,16.1,100.97,,,,2024-06-01 16:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,19.9,12.5,62.0,0.0,9.0,13.0,16.1,100.93,,,,2024-06-01 17:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,18.0,11.6,66.0,0.0,7.0,15.0,6.4,100.9,,,Haze,2024-06-01 18:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,17.1,11.2,68.0,0.0,7.0,18.0,2.4,100.89,,,Rain,2024-06-01 19:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,16.8,10.1,64.0,0.0,7.0,18.0,16.1,100.86,,,,2024-06-01 20:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,16.6,9.7,63.0,0.0,7.0,17.0,16.1,100.86,,,,2024-06-01 21:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,16.4,9.3,62.0,0.0,7.0,17.0,16.1,100.85,,,,2024-06-01 22:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,16.6,9.4,62.0,0.0,6.0,17.0,16.1,100.79,,,,2024-06-01 23:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,17.2,8.4,56.0,0.0,7.0,13.0,16.1,100.72,,,,2024-06-02 00:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,17.4,8.5,56.0,0.0,7.0,15.0,16.1,100.65,,,,2024-06-02 01:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,17.6,8.7,55.0,0.0,7.0,17.0,16.1,100.6,,,,2024-06-02 02:00:00-04:00
-79.4,43.63,TORONTO CITY CENTRE,6158359,17.0,8.6,57.0,0.0,7.0,17.0,16.1,100.57,,,,2024-06-02 03:00:00-04:00
